combination,symbols,kr_count,us_count,annual_return,annual_volatility,sharpe_zero_rate,max_drawdown,average_pair_correlation
226490|226980|IWM|IJS,"226490,226980,IWM,IJS",2,2,0.14266522940496984,0.15864196080198353,0.8992906333466477,-0.19385860485995599,0.4240600140563548
292190|229200|ITOT|IWM,"292190,229200,ITOT,IWM",2,2,0.13090302480557836,0.1586622207831086,0.8250421818091335,-0.23089080799304096,0.38923743243280806
292190|ITOT|IWM|IJS,"292190,ITOT,IWM,IJS",1,3,0.1579294576524125,0.15872096728362844,0.9950132005571668,-0.1831146715503047,0.5425761716258869
069500|226490|IWM|IWD,"069500,226490,IWM,IWD",2,2,0.1777246207297773,0.15874188488342605,1.1195824017101186,-0.19174511674149142,0.45789073235749167
226490|275290|IVV|IWF,"226490,275290,IVV,IWF",2,2,0.19174253913064504,0.15884741494040358,1.2070863048201512,-0.19938278700985168,0.4737392876632108
ITOT|IJS|IWD|IWF,"ITOT,IJS,IWD,IWF",0,4,0.15036633345389783,0.15888070791620343,0.9464102685972658,-0.16814927244708366,0.7892005164501965
069500|292190|IJS|IWD,"069500,292190,IJS,IWD",2,2,0.187460950584037,0.1590271760385608,1.1787982108075765,-0.1931329896469286,0.42730438045122
292190|275290|ITOT|IJS,"292190,275290,ITOT,IJS",2,2,0.18870316646469548,0.1590453453395258,1.1864739962169717,-0.1919371784160414,0.42001037087933496
229200|IVV|IWM|IJS,"229200,IVV,IWM,IJS",1,3,0.10948183444577869,0.15929420488104157,0.6872932667421142,-0.19347237134996953,0.5056022422582412
226490|275290|ITOT|IWF,"226490,275290,ITOT,IWF",2,2,0.18947763132318812,0.15932178904846006,1.1892763221831242,-0.20268116723823237,0.4751840742968563
069500|229200|IJS|IWF,"069500,229200,IJS,IWF",2,2,0.13870614652052002,0.15934721269663796,0.8704648432388084,-0.22828106532314674,0.3147357458905031
069500|226490|ITOT|IJS,"069500,226490,ITOT,IJS",2,2,0.181209982590965,0.15937062510404976,1.1370350243192984,-0.19239289619221356,0.4397253917730419
