date,069500,226490,292190,229200,226980,275290,IVV,ITOT,IWM,IJS,IWD,IWF
2022-11-04,28308.0,22192.0,13028.0,9731.0,9997.0,8828.0,509125.2272,112950.15424,242080.03999999998,124492.64976,196527.40992,73680.32256
2022-11-11,30107.0,23453.0,13866.0,10454.0,10456.0,9397.0,500915.92832,111258.58944000001,235231.69664,120713.36320000002,190951.1232,73724.92800000001
2022-11-18,29484.0,23113.0,13629.0,10350.0,10508.0,9298.0,506195.2559299999,112061.54479,235070.39192,121555.02372,193075.04007999998,74053.71948
2022-11-25,29396.0,23071.0,13592.0,10291.0,10624.0,9352.0,507856.16917000007,112335.13865000001,234509.33940000003,121435.84089,194331.0733,74073.19304000001
2022-12-02,29317.0,23053.0,13545.0,10221.0,10568.0,9320.0,504426.97494,111699.75705000001,233358.04800000004,120172.37526000002,192216.47298000002,73947.67128000001
2022-12-09,29024.0,22574.0,13373.0,10157.0,10456.0,9244.0,488043.58602999995,107860.46271,221894.68300999998,114825.67095999999,185991.16535999998,71373.18188
2022-12-16,28527.0,22295.0,13205.0,9974.0,10373.0,9158.0,479162.21264000004,105993.12786,218299.56174000003,112179.94062000001,183595.24166,69817.75252000001
2022-12-23,28099.0,21923.0,12991.0,9682.0,10317.0,9104.0,469704.96624,103812.17008,214210.34183999998,110453.75848,181635.11503999998,67634.43711999999
2022-12-30,27504.0,21527.0,12758.0,9543.0,10345.0,8973.0,463269.17475,102430.69605000001,211447.79325000002,109239.3963,179631.5823,66497.39955
2023-01-06,28443.0,21997.0,13186.0,9657.0,10127.0,9176.0,471569.7006999999,104265.47284,216050.95276,113230.41532,184706.00337999998,66918.52313999999
2023-01-13,29596.0,22885.0,13694.0,9865.0,10693.0,9492.0,473897.18337,105152.01256,222675.19331,116102.01638,184277.68802,68141.53589
2023-01-20,29781.0,22988.0,13736.0,9845.0,10809.0,9695.0,468537.42949999997,104011.5559,219253.18905,114472.41085,180592.66435,68056.65265
2023-01-27,30911.0,23857.0,14295.0,10197.0,10953.0,9957.0,478626.99583999993,106422.12091,223868.93263,117042.20654,183173.72884999998,70179.66732
2023-02-03,30729.0,23760.0,14229.0,10627.0,10935.0,9849.0,485742.94758000004,108277.80678000001,232260.21504000004,123189.19938,184491.87804,71987.63994000001
2023-02-10,30510.0,23681.0,14183.0,10850.0,10860.0,9736.0,494591.35140000004,109883.8852,230918.23104,122000.32604,187991.6398,72941.05736
2023-02-17,30259.0,23569.0,14085.0,10999.0,10884.0,9885.0,506983.81120000005,112962.1563,240693.00014999998,127250.28874999999,192589.01880000002,75058.86009999999
2023-02-24,29900.0,23295.0,13927.0,11033.0,10893.0,9813.0,495328.0455199999,110344.19591999998,234642.05352000002,123720.22263999999,188656.59568,73161.4408
2023-03-03,29858.0,23383.0,13969.0,11479.0,10986.0,9727.0,504005.16151999997,112286.81927999998,239047.30039999998,126064.38543999998,191107.94064,74771.19296
2023-03-10,29276.0,23030.0,13731.0,11375.0,10735.0,9483.0,489775.233,108443.10786,223741.99638,117616.63578,183671.57196,72854.8356
2023-03-17,29416.0,22992.0,13759.0,11627.0,10549.0,9402.0,488206.89045999997,107698.71144000001,213842.98674000002,110833.10684000001,177668.13118000003,74575.56158000001
